StateFIPS,CountyFIPS,StateAbbr,CountyName,RuralUrbanContinuumCode,UrbanInfluenceCode,MetroIndicator,CBSACode
1,1001,AL,Autauga,2,2,1,33860
1,1003,AL,Baldwin,3,2,1,19300
1,1007,AL,Bibb,1,1,1,13820
1,1009,AL,Blount,1,1,1,13820
1,1015,AL,Calhoun,3,2,1,11500
1,1021,AL,Chilton,1,1,1,13820
1,1033,AL,Colbert,3,2,1,22520
1,1051,AL,Elmore,2,2,1,33860
1,1055,AL,Etowah,3,2,1,23460
1,1061,AL,Geneva,3,2,1,20020
1,1065,AL,Hale,3,2,1,46220
1,1067,AL,Henry,3,2,1,20020
1,1069,AL,Houston,3,2,1,20020
1,1073,AL,Jefferson,1,1,1,13820
1,1077,AL,Lauderdale,3,2,1,22520
1,1079,AL,Lawrence,3,2,1,19460
1,1081,AL,Lee,3,2,1,12220
1,1083,AL,Limestone,2,2,1,26620
1,1085,AL,Lowndes,2,2,1,33860
1,1089,AL,Madison,2,2,1,26620
1,1097,AL,Mobile,2,2,1,33660
1,1101,AL,Montgomery,2,2,1,33860
1,1103,AL,Morgan,3,2,1,19460
1,1107,AL,Pickens,3,2,1,46220
1,1113,AL,Russell,2,2,1,17980
1,1115,AL,St. Clair,1,1,1,13820
1,1117,AL,Shelby,1,1,1,13820
1,1125,AL,Tuscaloosa,3,2,1,46220
1,1127,AL,Walker,1,1,1,13820
2,2020,AK,Anchorage Municipality,2,2,1,11260
2,2090,AK,Fairbanks North Star Borough,3,2,1,21820
2,2170,AK,Matanuska-Susitna Borough,2,2,1,11260
4,4003,AZ,Cochise,3,2,1,43420
4,4005,AZ,Coconino,3,2,1,22380
4,4013,AZ,Maricopa,1,1,1,38060
4,4015,AZ,Mohave,3,2,1,29420
4,4019,AZ,Pima,2,2,1,46060
4,4021,AZ,Pinal,1,1,1,38060
4,4025,AZ,Yavapai,3,2,1,39140
4,4027,AZ,Yuma,3,2,1,49740
5,5007,AR,Benton,2,2,1,22220
5,5025,AR,Cleveland,3,2,1,38220
5,5031,AR,Craighead,3,2,1,27860
5,5033,AR,Crawford,2,2,1,22900
5,5035,AR,Crittenden,1,1,1,32820
5,5045,AR,Faulkner,2,2,1,30780
5,5051,AR,Garland,3,2,1,26300
5,5053,AR,Grant,2,2,1,30780
5,5069,AR,Jefferson,3,2,1,38220
5,5079,AR,Lincoln,3,2,1,38220
5,5081,AR,Little River,3,2,1,45500
5,5085,AR,Lonoke,2,2,1,30780
5,5087,AR,Madison,2,2,1,22220
5,5091,AR,Miller,3,2,1,45500
5,5105,AR,Perry,2,2,1,30780
5,5111,AR,Poinsett,3,2,1,27860
5,5119,AR,Pulaski,2,2,1,30780
5,5125,AR,Saline,2,2,1,30780
5,5131,AR,Sebastian,2,2,1,22900
5,5143,AR,Washington,2,2,1,22220
6,6001,CA,Alameda,1,1,1,41860
6,6007,CA,Butte,3,2,1,17020
6,6013,CA,Contra Costa,1,1,1,41860
6,6017,CA,El Dorado,1,1,1,40900
6,6019,CA,Fresno,2,2,1,23420
6,6025,CA,Imperial,3,2,1,20940
6,6029,CA,Kern,2,2,1,12540
6,6031,CA,Kings,3,2,1,25260
6,6037,CA,Los Angeles,1,1,1,31080
6,6039,CA,Madera,3,2,1,31460
6,6041,CA,Marin,1,1,1,41860
