CBSACode,UrbanInfluenceCode
10100,8
10140,5
10180,2
10220,8
10260,5
10300,5
10380,2
10420,2
10460,5
10500,2
10540,2
10580,2
10620,3
10660,8
10700,5
10740,2
10760,6
10780,2
10820,5
10860,5
10900,2
10940,5
10980,8
11020,2
11060,8
11100,2
11140,5
11180,2
11220,5
11260,2
11380,5
11420,8
11460,2
11500,2
11540,2
11580,5
11620,8
11640,2
11660,8
11680,5
11700,2
11740,3
11780,3
11820,3
11860,3
11900,3
11940,5
11980,3
12020,2
12060,1
12100,2
12120,6
12140,5
12180,5
12220,2
12260,2
12300,5
12380,5
12420,1
12460,5
12540,2
12580,1
12620,2
12660,5
12680,3
12700,2
12740,5
12780,5
12820,5
12860,3
12900,8
12940,2
12980,2
13020,2
13060,3
13100,5
13140,2
13180,3
13220,2
13260,5
13300,5
13340,3
13380,2
13420,8
13460,2
13500,5
13540,5
13620,8
13660,5
13700,5
13720,8
13740,2
13780,2
13820,1
13900,2
13940,5
13980,2
14010,2
14020,2
14100,2
14140,5
14180,3
14220,3
14260,2
14300,4
14340,5
14380,8
14420,5
14460,1
14500,2
14540,2
14580,8
14620,8
14660,3
14700,5
14720,8
14740,2
14780,3
14820,5
14860,2
15020,5
15060,8
15100,8
15140,4
15180,2
15220,8
15260,2
15340,3
15380,1
15420,8
15460,8
15500,2
15540,2
15580,8
15620,8
15660,3
15680,2
15700,5
15740,5
15780,8
15820,8
15860,5
15900,5
15940,2
15980,2
16020,2
16060,2
16100,8
16140,11
16180,2
16220,2
16260,5
16300,2
16340,3
16380,8
16420,6
16460,3
16500,3
16540,2
16580,2
16620,2
16660,8
16700,2
16740,1
16820,2
16860,2
16940,2
16980,1
17020,2
17060,3
17140,1
17200,8
17220,5
17260,8
17300,2
17340,5
17380,8
17420,2
17460,1
17500,3
17540,5
17580,8
17620,3
17640,3
17660,2
17700,8
17740,5
17780,2
17820,2
17860,2
17900,2
17980,2
18020,2
18060,8
18100,8
18140,1
18180,3
18220,3
18260,3
18300,8
18380,5
18420,8
18460,5
18500,3
18580,2
18620,3
18660,5
18700,2
18740,3
18780,8
18820,3
18860,8
18880,2
18900,5
18980,3
19000,5
19060,2
19100,1
19140,2
19180,2
19220,8
19260,5
19300,2
19340,2
19380,2
19420,5
19460,2
19500,2
19540,5
19580,5
19620,8
19660,2
19700,5
19740,1
19760,5
19780,2
19820,1
19860,8
19940,3
19980,8
20020,2
20060,8
20100,2
