CustomerId,Zip,State,City,StateFIPS,CountyFIPS,CBSACode,CBSATitle,CreditLimit,CreditLimitLocked,JBTRating,SalesCurrentYr,SalesLastYr,PlainBandSalesLast12Mo,DesignBandSalesLast12Mo,DiamondBandSalesLast12Mo,AlternativeMetalSalesLast12Mo,TotalSalesLast12Mo,BuyingGroupMember,NumberOfStoreLocations,AvgDaysOfPayCategory,AvgDaysOfPay,MaxDaysPastDue,MaxAmtPastDue,AvgAmtPastDue,ReturnedPaymentCount,MaxReturnedPaymentAmt,RuralUrbanContinuumCode,UrbanInfluenceCode,MetroIndicator,TotalPopulation,MedianEarnings,MedianRetailTradeEarnings,TotalHouseholds,MedianIncomeHouseholds,NumberOfJewelryStores,NumberOfJewelryStoresState,JewelryStoreSalesState
7380,1028,MA,East Longmeadow,25,25013,44140,"Springfield, MA",3000,1,FIN1,459,203,0,444,0,192,636,0,2,30 to 60,34,25,459,221,0,0,2,2,1,629107,35227,21007,235601,53609,53,652,837053
7481,1028,MA,East Longmeadow,25,25013,44140,"Springfield, MA",1000,1,RPT2,1356,4653,0,1037,0,1782,2819,0,1,0 to 10,3.74,6,788,156,0,0,2,2,1,629107,35227,21007,235601,53609,53,652,837053
3144,1056,MA,Ludlow,25,25013,44140,"Springfield, MA",0,0,RSP0,236,5615,1940,1675,728,258,4600,0,1,10 to 20,16.86,3,175,133,0,0,2,2,1,629107,35227,21007,235601,53609,53,652,837053
6042,1060,MA,Northampton,25,25015,44140,"Springfield, MA",5000,0,FIN1,7238,35130,11445,6319,1371,1516,20651,0,1,30 to 60,33.72,36,4869,733,0,0,2,2,1,629107,35227,21007,235601,53609,53,652,837053
7294,1106,MA,Longmeadow,25,25013,44140,"Springfield, MA",5000,0,FIN1,1834,10285,1473,1743,0,630,3846,1,1,30 to 60,34.02,38,991,263,0,0,2,2,1,629107,35227,21007,235601,53609,53,652,837053
2870,1108,MA,Springfield,25,25013,44140,"Springfield, MA",2000,1,41,0,11553,777,0,0,0,777,0,2,0 to 10,4.2,5,290,271,0,0,2,2,1,629107,35227,21007,235601,53609,53,652,837053
3171,1453,MA,Leominster,25,25027,49340,"Worcester, MA-CT",5000,0,FIN1,0,455,0,0,0,0,0,0,1,10 to 20,12,0,0,0,0,0,2,2,1,930667,40668,23469,347055,65973,46,652,837053
5243,1550,MA,Southbridge,25,25027,49340,"Worcester, MA-CT",5000,0,FIN1,0,1325,0,0,0,422,422,1,1,30 to 60,37.43,82,394,138,0,0,2,2,1,930667,40668,23469,347055,65973,46,652,837053
1362,1562,MA,Spencer,25,25027,49340,"Worcester, MA-CT",1000,0,RPT1,157,1534,286,187,398,612,1482,0,1,10 to 20,17.2,0,0,0,0,0,2,2,1,930667,40668,23469,347055,65973,46,652,837053
4217,1581,MA,Westborough,25,25027,49340,"Worcester, MA-CT",3000,0,FIN2,1639,1449,645,917,289,84,1935,1,1,30 to 60,40.55,141,459,209,0,0,2,2,1,930667,40668,23469,347055,65973,46,652,837053
5645,1583,MA,West Boylston,25,25027,49340,"Worcester, MA-CT",5000,0,FIN1,0,1242,240,390,0,43,674,0,1,30 to 60,31.5,10,327,149,0,0,2,2,1,930667,40668,23469,347055,65973,46,652,837053
7692,1604,MA,Worcester,25,25027,49340,"Worcester, MA-CT",1000,0,RPT1,102,2299,680,0,0,328,1007,0,1,20 to 30,24.9,9,357,262,0,0,2,2,1,930667,40668,23469,347055,65973,46,652,837053
3663,1730,MA,Bedford,25,25017,14460,"Boston-Cambridge-Newton, MA-NH",3000,0,FIN2,0,656,0,224,412,0,635,1,1,0 to 10,5,5,427,328,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
5308,1760,MA,Natick,25,25017,14460,"Boston-Cambridge-Newton, MA-NH",3000,0,FIN2,499,2716,1299,877,0,389,2566,1,1,20 to 30,27.38,40,355,246,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
4044,1801,MA,Woburn,25,25017,14460,"Boston-Cambridge-Newton, MA-NH",0,0,RPT2,3800,11525,4094,3612,675,1349,9730,0,1,0 to 10,8.54,32,667,563,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
7567,1803,MA,Burlington,25,25017,14460,"Boston-Cambridge-Newton, MA-NH",1000,0,FIN3,2948,28255,2499,2140,0,1627,6266,0,1,30 to 60,50.36,118,3964,976,1,4430,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
7551,1867,MA,Reading,25,25017,14460,"Boston-Cambridge-Newton, MA-NH",1000,1,RPT0,1558,2651,0,1570,0,738,2308,0,1,0 to 10,5.82,15,453,198,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
7925,1930,MA,Gloucester,25,25009,14460,"Boston-Cambridge-Newton, MA-NH",1000,0,FIN0,887,4525,826,802,0,261,1888,0,1,0 to 10,5.17,8,3383,902,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
7225,2026,MA,Dedham,25,25021,14460,"Boston-Cambridge-Newton, MA-NH",3000,0,FIN2,17061,25629,7030,8013,1364,2692,19099,0,1,30 to 60,45.5,47,939,318,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
7005,2038,MA,Franklin,25,25021,14460,"Boston-Cambridge-Newton, MA-NH",3000,0,FIN2,526,2921,0,1338,0,1142,2480,0,1,20 to 30,26.58,37,484,250,0,0,1,1,1,4728844,45053,23992,1784448,77809,478,652,837053
