CustomerId,Zip,State,City,StateFIPS,CountyFIPS,CBSACode,CBSATitle,CreditLimit,CreditLimitLocked,JBTRating,SalesCurrentYr,SalesLastYr,PlainBandSalesLast12Mo,DesignBandSalesLast12Mo,DiamondBandSalesLast12Mo,AlternativeMetalSalesLast12Mo,TotalSalesLast12Mo,BuyingGroupMember,NumberOfStoreLocations,AvgDaysOfPayCategory,AvgDaysOfPay,MaxDaysPastDue,MaxAmtPastDue,AvgAmtPastDue,ReturnedPaymentCount,MaxReturnedPaymentAmt,RuralUrbanContinuumCode,UrbanInfluenceCode,MetroIndicator,TotalPopulation,MedianEarnings,MedianRetailTradeEarnings,TotalHouseholds,MedianIncomeHouseholds,NumberOfJewelryStores,NumberOfJewelryStoresState,JewelryStoreSalesState
5656,36066,AL,Prattville,1,1001,33860,"Montgomery, AL",1000,1,RPT1,980,4744,2875,0,0,363,3238,0,1,0 to 10,3.41,7,330,163,0,0,2,2,1,373963,31596,20326,144209,47614,22,296,291962
3621,36542,AL,Gulf Shores,1,1003,19300,"Daphne-Fairhope-Foley, AL",1000,1,FIN1,1314,3597,429,3090,0,750,4270,1,1,10 to 20,13.17,88,1589,233,0,0,3,2,1,199510,31540,19069,75149,51365,19,296,291962
1236,36201,AL,Anniston,1,1015,11500,"Anniston-Oxford-Jacksonville, AL",1000,1,FIN2,3762,6416,2182,2268,776,503,5729,0,1,0 to 10,6.97,50,1921,327,0,0,3,2,1,115883,28183,16540,45071,41954,8,296,291962
257,36203,AL,Oxford,1,1015,11500,"Anniston-Oxford-Jacksonville, AL",0,0,RPT2,850,1707,0,692,0,699,1391,0,3,10 to 20,13.18,11,328,148,0,0,3,2,1,115883,28183,16540,45071,41954,8,296,291962
6402,36203,AL,Oxford,1,1015,11500,"Anniston-Oxford-Jacksonville, AL",1000,1,RPT1,1457,4821,1170,621,0,1958,3750,0,1,0 to 10,3.91,8,496,159,0,0,3,2,1,115883,28183,16540,45071,41954,8,296,291962
7749,36265,AL,Jacksonville,1,1015,11500,"Anniston-Oxford-Jacksonville, AL",1000,1,NEW4,813,5010,1565,0,0,1807,3372,0,1,0 to 10,3.56,7,850,166,0,0,3,2,1,115883,28183,16540,45071,41954,8,296,291962
1832,35045,AL,Clanton,1,1021,13820,"Birmingham-Hoover, AL",1000,1,FIN2,2044,7757,1199,697,0,1196,3092,0,1,10 to 20,15.44,32,1208,361,0,0,1,1,1,1141309,34892,21759,439027,50529,76,296,291962
6805,36904,AL,Butler,1,1023,,,1000,0,RPT1,353,806,207,0,0,515,722,0,1,30 to 60,32.33,30,111,84,0,0,9,10,0,4168,27847,19013,1765,32332,,296,291962
2367,35661,AL,Muscle Shoals,1,1033,22520,"Florence-Muscle Shoals, AL",3000,0,FIN2,4238,18968,3106,3437,0,4070,10613,0,2,20 to 30,27.38,118,589,165,0,0,3,2,1,147018,30182,20693,60466,43696,12,296,291962
6298,36420,AL,Andalusia,1,1039,,,3000,0,FIN2,68,0,0,0,0,0,0,1,1,0 to 10,1,0,0,0,0,0,6,6,0,11056,30953,21497,4369,41357,,296,291962
